Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.9000000000000001,0.9,1.5,0.341123557066544,2.9314891313851037,0.592284125133923,0.2020420675597299,0.06652468539471436,0.4290964618239036,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,1.5,0.3555039562810141,2.812908217565751,0.5875921921374699,0.20889134898470435,0.061047951309605046,0.5578254003710745,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,1.875,0.10361449848163225,9.651159004328628,0.6938119360462297,0.0718889757940004,0.3118950046476847,0.11276100503303563,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,1.875,0.13414642631166476,7.454540739510141,0.6766965636143649,0.09077642570625116,0.24988041457469978,0.1236733603588133,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,1.875,0.15787793101604317,6.334007505446613,0.6647477623421862,0.10494900136612872,0.2119300367058844,0.1369240775401147,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,1.875,0.17703494988475593,5.648602158223379,0.6557644718227575,0.11609323040534532,0.18622093971538012,0.15335496684492847,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,1.875,0.19293937099316558,5.182975329775604,0.64868007483836,0.12515592561511274,0.16760502327130977,0.17426700777832782,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,1.875,0.2064408674921776,4.844002121032996,0.6428980074373641,0.1327204223643619,0.1534627201948247,0.20178285111174796,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,1.875,0.2181276900613713,4.584470681914089,0.6380475106754663,0.13917582965304762,0.1423069990481586,0.23961713569520077,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,1.875,0.22845339847985055,4.37726033691812,0.6338697678140877,0.1448097026507621,0.13320542492732287,0.2949133977787087,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,1.875,0.23784740469664048,4.204376336481105,0.6301430383890286,0.14987788626848594,0.12548734232265857,0.38338741711232116,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,2.25,0.07062307641771796,14.159677696355908,0.7156853292123359,0.05054389969600243,0.4037862170150288,0.07749942982490024,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,2.25,0.09115941366824666,10.969794119554848,0.7017639019513241,0.06397238583542364,0.3428601933898948,0.0849993746466648,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,2.25,0.10703361755459763,9.342859027350935,0.692080507836566,0.07407588039277073,0.3040424004244956,0.09410645050166459,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,2.25,0.11979619799693753,8.347510327711436,0.6848192395854487,0.0820387412174906,0.27687991245362575,0.10539922456186433,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,2.25,0.130359875052444,7.6710720963616925,0.679103970050497,0.08852790868340148,0.2566754007475245,0.11977184609302766,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,2.25,0.13930653311061628,7.17841423277651,0.6744465061969326,0.09395480454686245,0.2409717130379504,0.13868319021297937,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,2.25,0.1470362007412579,6.801046238672319,0.6705444049601996,0.09859430173365524,0.22833724172972591,0.16468628837791305,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,2.25,0.1538558444797094,6.499590596520242,0.6671871528649547,0.10265064283005057,0.21784718676888315,0.20269081646512377,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,2.25,0.16005682124063447,6.24778120825334,0.6641949354669426,0.10630893005496718,0.2088042704976817,0.2634980614046608,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,2.625,0.04823409544504391,20.732222523782205,0.7335793145361007,0.03538353467384417,0.4902163165659693,0.05326452723106724,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,2.625,0.06211234866974072,16.099858102567133,0.7221987541959907,0.04485746082947375,0.43365137115073216,0.05841915889858989,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,2.625,0.07279321543423435,13.737544000971608,0.7143042086340591,0.051996500144679346,0.39665601594074584,0.06467835449486738,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,2.625,0.08135357007015877,12.29202356009216,0.7083955960409074,0.05763051075990585,0.3702195181303616,0.07243975703425146,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,2.625,0.08842249304132929,11.309339576442309,0.7037516174136977,0.06222747249358692,0.35021029035183016,0.0823179057207403,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,2.625,0.09439838698041438,10.593401349193375,0.6999714675021561,0.06607617746451708,0.3344281238826251,0.0953154697819098,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,2.625,0.09955369901051464,10.044830176469707,0.696807399628964,0.06936975413096128,0.3215686767249918,0.11318712036601791,stop-extrapolation
