Ns,a,eta_s,gamma_max,GQ
10.0,0.5,0.6020100502512563,1.5849711263857502,2.2088799192734614
10.0,0.5,0.6060301507537689,1.6011819547513932,2.2268565615462874
10.0,0.5,0.6100502512562815,1.6175252530500321,2.2451282051282058
10.0,0.5,0.614070351758794,1.6340032041391372,2.263702171664943
10.0,0.5,0.6180904522613067,1.65061804527885,2.282586027111575
10.0,0.5,0.6221105527638191,1.6673720699549452,2.301787592008412
10.0,0.5,0.6261306532663318,1.6842676297788113,2.321314952279958
10.0,0.5,0.6301507537688442,1.701307136468352,2.3411764705882354
10.0,0.5,0.6341708542713569,1.718493063914016,2.3613807982740025
10.0,0.5,0.6381909547738693,1.7358279503343519,2.381936887921654
10.0,0.5,0.642211055276382,1.75331440052581,2.40285400658617
10.0,0.5,0.6462311557788945,1.770955088211755,2.424141749723145
10.0,0.5,0.6502512562814071,1.7887527584960157,2.4458100558659224
10.0,0.5,0.6542713567839197,1.8067102304265674,2.4678692220969567
10.0,0.5,0.6582914572864322,1.824830399675372,2.4903299203640503
10.0,0.5,0.6623115577889448,1.8431162413407205,2.513203214695752
10.0,0.5,0.6663316582914574,1.8615708128788704,2.5365005793742763
10.0,0.5,0.6703517587939699,1.8801972571722059,2.5602339181286555
10.0,0.5,0.6743718592964825,1.8989988057416176,2.584415584415585
10.0,0.5,0.678391959798995,1.9179787821113137,2.6090584028605486
10.0,0.5,0.6824120603015076,1.9371406053348297,2.634175691937425
10.0,0.5,0.6864321608040201,1.9564877936915865,2.659781287970839
10.0,0.5,0.6904522613065327,1.9760239685640004,2.6858895705521473
10.0,0.5,0.6944723618090454,1.9957528585058288,2.712515489467163
10.0,0.5,0.6984924623115578,2.0156783035131767,2.7396745932415523
10.0,0.5,0.7025125628140705,2.035804259510419,2.7673830594184587
10.0,0.5,0.7065326633165829,2.0561348030641198,2.7956577266922094
10.0,0.5,0.7105527638190956,2.0766741363390326,2.824516129032259
10.0,0.5,0.714572864321608,2.0974265923112134,2.853976531942634
10.0,0.5,0.7185929648241207,2.1183966402544665,2.8840579710144936
10.0,0.5,0.7226130653266332,2.139588891517456,2.914780292942743
10.0,0.5,0.7266331658291458,2.161008105610208,2.946164199192464
10.0,0.5,0.7306532663316583,2.1826591966200524,2.9782312925170067
10.0,0.5,0.734673366834171,2.2045472399786874,3.011004126547456
10.0,0.5,0.7386934673366834,2.2266774796036324,3.0445062586926284
10.0,0.5,0.7427135678391961,2.2490553354392446,3.0787623066104084
10.0,0.5,0.7467336683417085,2.2716864114243958,3.1137980085348502
10.0,0.5,0.7507537688442212,2.294576503916142,3.1496402877697847
10.0,0.5,0.7547738693467336,2.3177316106010273,3.1863173216885006
10.0,0.5,0.7587939698492463,2.3411579399283338,3.2238586156111935
10.0,0.5,0.762814070351759,2.364861921102363,3.2622950819672147
10.0,0.5,0.7668341708542714,2.3888502146740014,3.3016591251885377
10.0,0.5,0.7708542713567841,2.413129723775223,3.341984732824429
10.0,0.5,0.7748743718592965,2.437707606043925,3.3833075734157654
10.0,0.5,0.7788944723618092,2.462591286290657,3.4256651017214415
10.0,0.5,0.7829145728643216,2.4877884699633,3.4690966719492873
10.0,0.5,0.7869346733668343,2.5133071574708206,3.513643659711077
10.0,0.5,0.7909547738693468,2.5391556594326903,3.559349593495935
10.0,0.5,0.7949748743718594,2.56534261292673,3.606260296540364
10.0,0.5,0.7989949748743719,2.5918769988148274,3.654424040066778
10.0,0.5,0.8030150753768845,2.61876816023353,3.7038917089678525
10.0,0.5,0.807035175879397,2.6460258223447415,3.7547169811320757
10.0,0.5,0.8110552763819097,2.673660113451026,3.806956521739132
10.0,0.5,0.8150753768844221,2.7016815875902216,3.8606701940035273
10.0,0.5,0.8190954773869348,2.7301012487355285,3.915921288014313
10.0,0.5,0.8231155778894472,2.7589305767398966,3.9727767695099816
10.0,0.5,0.8271356783919599,2.788181555177856,4.031307550644569
10.0,0.5,0.8311557788944723,2.817866701253713,4.091588785046729
10.0,0.5,0.835175879396985,2.847999097963002,4.153700189753322
10.0,0.5,0.8391959798994975,2.8785924287139486,4.217726396917148
10.0,0.5,0.8432160804020101,2.909661014638318,4.283757338551861
10.0,0.5,0.8472361809045228,2.9412198548462487,4.351888667992051
10.0,0.5,0.8512562814070352,2.9732846699083457,4.422222222222223
10.0,0.5,0.8552763819095479,3.005871948880548,4.49486652977413
10.0,0.5,0.8592964824120604,3.0389990002238956,4.569937369519834
10.0,0.5,0.863316582914573,3.072684007012892,4.647558386411893
10.0,0.5,0.8673366834170855,3.106946086873258,4.727861771058317
10.0,0.5,0.8713567839195981,3.1418053571438262,4.810989010989014
10.0,0.5,0.8753768844221106,3.177283005818589,4.897091722595079
10.0,0.5,0.8793969849246233,3.2134013688953846,4.986332574031894
10.0,0.5,0.8834170854271357,3.2501840148382306,5.078886310904873
10.0,0.5,0.8874371859296484,3.287655836953171,5.174940898345157
