Ns_diag,cutoff,tail_probability,eta_s,eta_i,Gamma,Fq_fock,local_variance,qzzb_bound,qzzb_fidelity_convention,guard_ratio,phase_wrapping_probability,Geff_analytic_envelope,classification
1.5,8,0.016796159999999994,0.4,0.9,2.25,0.10703361755459764,9.342859027350935,0.6412667763130276,squared_Uhlmann_fidelity_only,0.06863710288635831,0.3040424004244956,0.09410645050166459,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,2.25,0.11979619799693753,8.347510327711436,0.6312645007258867,squared_Uhlmann_fidelity_only,0.07562308711739622,0.27687991245362575,0.10539922456186433,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,2.25,0.13035987505244398,7.671072096361694,0.6234134177559981,squared_Uhlmann_fidelity_only,0.08126809524468898,0.2566754007475245,0.11977184609302766,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,2.25,0.13930653311061617,7.1784142327765155,0.6170301597872385,squared_Uhlmann_fidelity_only,0.08595633238464973,0.24097171303795073,0.13868319021297937,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,2.25,0.147036200741258,6.801046238672313,0.6116926921203023,squared_Uhlmann_fidelity_only,0.08994096947056131,0.22833724172972591,0.16468628837791305,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,2.25,0.15385584447970974,6.499590596520227,0.6071084062550769,squared_Uhlmann_fidelity_only,0.09340717653510555,0.2178471867688827,0.20269081646512377,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,2.25,0.1600568212406345,6.247781208253338,0.6030289360582438,squared_Uhlmann_fidelity_only,0.09651889462160435,0.2088042704976817,0.2634980614046608,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,2.625,0.048234095445043944,20.73222252378219,0.6989378718105075,squared_Uhlmann_fidelity_only,0.03371263601906391,0.4902163165659691,0.05326452723106724,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,2.625,0.06211234866974072,16.099858102567133,0.683045375257899,squared_Uhlmann_fidelity_only,0.04242555250527252,0.43365137115073216,0.05841915889858989,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,2.625,0.07279321543423424,13.73754400097163,0.6720523678942633,squared_Uhlmann_fidelity_only,0.04892085279921435,0.3966560159407463,0.06467835449486738,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,2.625,0.0813535700701588,12.292023560092156,0.6638430779216404,squared_Uhlmann_fidelity_only,0.05400600435528806,0.3702195181303616,0.07243975703425146,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,2.625,0.08842249304132943,11.30933957644229,0.6574025298570869,squared_Uhlmann_fidelity_only,0.05812917062164063,0.3502102903518298,0.0823179057207403,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,2.625,0.09439838698041435,10.593401349193378,0.6521679235382396,squared_Uhlmann_fidelity_only,0.06156360002237602,0.3344281238826253,0.0953154697819098,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,2.625,0.09955369901051457,10.044830176469715,0.6477921052556356,squared_Uhlmann_fidelity_only,0.06449010026800713,0.321568676724992,0.11318712036601791,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,2.625,0.1040967963068601,9.606443574422462,0.6440345206781236,squared_Uhlmann_fidelity_only,0.06704193031361691,0.31077148212461936,0.13930722506586823,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,2.625,0.10822596892721387,9.239926515904315,0.6406908124033358,squared_Uhlmann_fidelity_only,0.06933938395511484,0.3013642570137275,0.18109939258562863,stop-extrapolation
1.5,8,0.016796159999999994,0.2,0.9,3.0,0.03299623685347075,30.306486295415645,0.7195197081051591,squared_Uhlmann_fidelity_only,0.023741442709377968,0.5682259984435729,0.03660813850578231,stop-extrapolation
1.5,8,0.016796159999999994,0.30000000000000004,0.9,3.0,0.042413507723909796,23.57739441192857,0.7064242674067803,squared_Uhlmann_fidelity_only,0.029961931122014795,0.5176341729333935,0.04015086158698705,stop-extrapolation
1.5,8,0.016796159999999994,0.4,0.9,3.0,0.04963721363621936,20.146175152553656,0.6973753838857217,squared_Uhlmann_fidelity_only,0.03461577091457606,0.48397206626713773,0.04445273961416424,stop-extrapolation
1.5,8,0.016796159999999994,0.5,0.9,3.0,0.055413191865820936,18.046244338738475,0.6906222118670594,squared_Uhlmann_fidelity_only,0.038269581132987,0.4595845480192293,0.049787068367863944,stop-extrapolation
1.5,8,0.016796159999999994,0.6000000000000001,0.9,3.0,0.060174473646053384,16.61834228716326,0.6853263338817469,squared_Uhlmann_fidelity_only,0.04123915141711356,0.44091563640095,0.05657621405439085,stop-extrapolation
1.5,8,0.016796159999999994,0.7,0.9,3.0,0.06419392972868475,15.577796907378842,0.6810234634542461,squared_Uhlmann_fidelity_only,0.04371757235656738,0.42604930819911835,0.0655093004840315,stop-extrapolation
1.5,8,0.016796159999999994,0.8,0.9,3.0,0.06765745564738859,14.780337073444137,0.6774274681647452,squared_Uhlmann_fidelity_only,0.045833018881679,0.4138363490911494,0.07779229432478743,stop-extrapolation
1.5,8,0.016796159999999994,0.9000000000000001,0.9,3.0,0.07070689083103923,14.142893121825907,0.6743401575789867,squared_Uhlmann_fidelity_only,0.0476804959049232,0.4035073928774541,0.09574436224589222,stop-extrapolation
1.5,8,0.016796159999999994,1.0,0.9,3.0,0.07347749199462006,13.60960986628693,0.6715930344458151,squared_Uhlmann_fidelity_only,0.049346971812134974,0.3944455220789054,0.12446767091965986,stop-extrapolation
