nret,dark_rate_hz,background_rate_hz,gate_time_s,visibility,samples,max_classical_fi,phase_at_max_fi_rad,crlb_phase_variance,noise_counts_per_gate,sbr
0.007742636826811269,1000.0,100.0,1e-06,0.5,1,0.001784944083721871,4.479911124019045,560.2416395671358,0.0010999999999999998,7.03876075164661
0.007742636826811269,1000.0,1000.0,1e-06,0.5,1,0.0016043460200031029,4.505043865247764,623.3069347459508,0.002,3.8713184134056347
0.021544346900318832,1.0,0.0,1e-06,0.5,1,0.005772474340002523,1.8409732950036188,173.23593680964944,1e-06,21544.346900318833
0.021544346900318832,1.0,10.0,1e-06,0.5,1,0.00576938418875416,1.8409732950036188,173.32872405155948,1.1e-05,1958.5769909380758
0.021544346900318832,1.0,100.0,1e-06,0.5,1,0.0057417209948973,1.8409732950036188,174.16380922874967,0.000101,213.3103653496914
0.021544346900318832,1.0,1000.0,1e-06,0.5,1,0.005479939404926337,4.454778382790327,182.48376963822327,0.001001,21.522824076242593
0.021544346900318832,10.0,0.0,1e-06,0.5,1,0.005769693054989787,1.8409732950036188,173.31944532736847,9.999999999999999e-06,2154.4346900318833
0.021544346900318832,10.0,10.0,1e-06,0.5,1,0.005766605880011944,1.8409732950036188,173.41223256927847,1.9999999999999998e-05,1077.2173450159416
0.021544346900318832,10.0,100.0,1e-06,0.5,1,0.005738969258941527,1.8409732950036188,174.24731774646864,0.00010999999999999999,195.85769909380758
0.021544346900318832,10.0,1000.0,1e-06,0.5,1,0.005477449769762084,4.454778382790327,182.56671298392126,0.00101,21.33103653496914
0.021544346900318832,25.0,0.0,1e-06,0.5,1,0.00576506353107681,1.8409732950036188,173.4586261902335,2.4999999999999998e-05,861.7738760127534
0.021544346900318832,25.0,10.0,1e-06,0.5,1,0.005761981307003229,1.8409732950036188,173.5514134321435,3.5e-05,615.5527685805381
0.021544346900318832,25.0,100.0,1e-06,0.5,1,0.005734388888902647,1.8409732950036188,174.3864986093337,0.000125,172.35477520255066
0.021544346900318832,25.0,1000.0,1e-06,0.5,1,0.00547330540106738,4.454778382790327,182.7049518934179,0.0010249999999999999,21.018875024701302
0.021544346900318832,100.0,0.0,1e-06,0.5,1,0.005742026906235575,1.8409732950036188,174.15453050455864,9.999999999999999e-05,215.44346900318834
0.021544346900318832,100.0,10.0,1e-06,0.5,1,0.005738969258941527,1.8409732950036188,174.24731774646864,0.00010999999999999999,195.85769909380758
0.021544346900318832,100.0,100.0,1e-06,0.5,1,0.005711606637910902,1.837831702350029,175.082085198669,0.00019999999999999998,107.72173450159417
0.021544346900318832,100.0,1000.0,1e-06,0.5,1,0.00545268294642065,4.457919975443916,183.3959556838782,0.0010999999999999998,19.58576990938076
0.021544346900318832,1000.0,0.0,1e-06,0.5,1,0.005480216170766481,4.454778382790327,182.47455371092354,0.001,21.544346900318832
0.021544346900318832,1000.0,10.0,1e-06,0.5,1,0.005477449769762084,4.454778382790327,182.56671298392126,0.00101,21.33103653496914
0.021544346900318832,1000.0,100.0,1e-06,0.5,1,0.00545268294642065,4.457919975443916,183.3959556838782,0.0010999999999999998,19.58576990938076
0.021544346900318832,1000.0,1000.0,1e-06,0.5,1,0.0052176264417922264,1.8158405537749005,191.65802902066432,0.002,10.772173450159416
0.05994842503189409,1.0,0.0,1e-06,0.5,1,0.01606280390053621,1.8409732950036188,62.25563146958533,1e-06,59948.42503189409
0.05994842503189409,1.0,10.0,1e-06,0.5,1,0.01605971247706625,1.8409732950036188,62.267615402705985,1.1e-05,5449.856821081281
0.05994842503189409,1.0,100.0,1e-06,0.5,1,0.01603194312061697,1.8409732950036188,62.375470800791874,0.000101,593.5487626920207
0.05994842503189409,1.0,1000.0,1e-06,0.5,1,0.015759698602403314,1.837831702350029,63.4529901382443,0.001001,59.8885364953987
0.05994842503189409,10.0,0.0,1e-06,0.5,1,0.016060021565864845,1.8409732950036188,62.26641700939392,9.999999999999999e-06,5994.842503189409
0.05994842503189409,10.0,10.0,1e-06,0.5,1,0.016056931213167137,1.8409732950036188,62.27840094251458,1.9999999999999998e-05,2997.4212515947047
0.05994842503189409,10.0,100.0,1e-06,0.5,1,0.016029171465914812,1.8409732950036188,62.38625634060047,0.00010999999999999999,544.9856821081281
0.05994842503189409,10.0,1000.0,1e-06,0.5,1,0.01575702490100637,1.837831702350029,63.463757040590316,0.00101,59.354876269202066
0.05994842503189409,25.0,0.0,1e-06,0.5,1,0.016055386482771657,1.8409732950036188,62.284392909074896,2.4999999999999998e-05,2397.937001275764
0.05994842503189409,25.0,10.0,1e-06,0.5,1,0.016052297913458496,1.8409732950036188,62.29637684219556,3.5e-05,1712.8121437684028
0.05994842503189409,25.0,100.0,1e-06,0.5,1,0.01602455417045429,1.8409732950036188,62.404232240281445,0.000125,479.5874002551527
0.05994842503189409,25.0,1000.0,1e-06,0.5,1,0.015752570747464105,1.837831702350029,63.48170187783368,0.0010249999999999999,58.48626832379912
0.05994842503189409,100.0,0.0,1e-06,0.5,1,0.016032251141419034,1.8409732950036188,62.374272407479815,9.999999999999999e-05,599.484250318941
0.05994842503189409,100.0,10.0,1e-06,0.5,1,0.016029171465914812,1.8409732950036188,62.38625634060047,0.00010999999999999999,544.9856821081281
0.05994842503189409,100.0,100.0,1e-06,0.5,1,0.016001507536924635,1.8409732950036188,62.49411173868636,0.00019999999999999998,299.7421251594705
0.05994842503189409,100.0,1000.0,1e-06,0.5,1,0.015730337699086116,1.837831702350029,63.57142606405055,0.0010999999999999998,54.49856821081282
0.05994842503189409,1000.0,0.0,1e-06,0.5,1,0.015759995736347492,1.837831702350029,63.45179381576141,0.001,59.94842503189409
0.05994842503189409,1000.0,10.0,1e-06,0.5,1,0.01575702490100637,1.837831702350029,63.463757040590316,0.00101,59.354876269202066
0.05994842503189409,1000.0,100.0,1e-06,0.5,1,0.015730337699086116,1.837831702350029,63.57142606405055,0.0010999999999999998,54.49856821081282
0.05994842503189409,1000.0,1000.0,1e-06,0.5,1,0.015468920167347343,1.8315485170428496,64.64575349679906,0.002,29.974212515947045
0.1668100537200059,1.0,0.0,1e-06,0.5,1,0.04469625719671797,1.8409732950036188,22.37323800064023,1e-06,166810.0537200059
0.1668100537200059,1.0,10.0,1e-06,0.5,1,0.044693165315798915,1.8409732950036188,22.374785785120988,1.1e-05,15164.550338182355
0.1668100537200059,1.0,100.0,1e-06,0.5,1,0.044665357624936175,1.8409732950036188,22.388715845447773,0.000101,1651.5846902970882
0.1668100537200059,1.0,1000.0,1e-06,0.5,1,0.04438917213490455,1.8409732950036188,22.528016448715647,0.001001,166.6434103096962
0.1668100537200059,10.0,0.0,1e-06,0.5,1,0.0446934744846413,1.8409732950036188,22.374631006672914,9.999999999999999e-06,16681.005372000593
0.1668100537200059,10.0,10.0,1e-06,0.5,1,0.044690382988687334,1.8409732950036188,22.376178791153663,1.9999999999999998e-05,8340.502686000296
0.1668100537200059,10.0,100.0,1e-06,0.5,1,0.044662578758918325,1.8409732950036188,22.390108851480452,0.00010999999999999999,1516.4550338182355
0.1668100537200059,10.0,1000.0,1e-06,0.5,1,0.044386427527475146,1.8409732950036188,22.52940945474833,0.00101,165.1584690297088
0.1668100537200059,25.0,0.0,1e-06,0.5,1,0.04468883740108638,1.8409732950036188,22.376952683394045,2.4999999999999998e-05,6672.402148800236
0.1668100537200059,25.0,10.0,1e-06,0.5,1,0.04468574654658111,1.8409732950036188,22.378500467874797,3.5e-05,4766.0015348573115
0.1668100537200059,25.0,100.0,1e-06,0.5,1,0.044657948083865896,1.8409732950036188,22.39243052820158,0.000125,1334.4804297600472
0.1668100537200059,25.0,1000.0,1e-06,0.5,1,0.04438185393590673,1.8409732950036188,22.531731131469456,0.0010249999999999999,162.74151582439603
0.1668100537200059,100.0,0.0,1e-06,0.5,1,0.044665666409172695,1.8409732950036188,22.3885610669997,9.999999999999999e-05,1668.100537200059
0.1668100537200059,100.0,10.0,1e-06,0.5,1,0.044662578758918325,1.8409732950036188,22.390108851480452,0.00010999999999999999,1516.4550338182355
0.1668100537200059,100.0,100.0,1e-06,0.5,1,0.0446348091045756,1.8409732950036188,22.40403891180724,0.00019999999999999998,834.0502686000295
0.1668100537200059,100.0,1000.0,1e-06,0.5,1,0.04435900010871428,1.8409732950036188,22.543339515075115,0.0010999999999999998,151.64550338182357
0.1668100537200059,1000.0,0.0,1e-06,0.5,1,0.04438947711223772,1.8409732950036188,22.527861670267576,0.001,166.8100537200059
0.1668100537200059,1000.0,10.0,1e-06,0.5,1,0.044386427527475146,1.8409732950036188,22.52940945474833,0.00101,165.1584690297088
0.1668100537200059,1000.0,100.0,1e-06,0.5,1,0.04435900010871428,1.8409732950036188,22.543339515075115,0.0010999999999999998,151.64550338182357
0.1668100537200059,1000.0,1000.0,1e-06,0.5,1,0.04408689321041191,1.837831702350029,22.68247833267217,0.002,83.40502686000295
0.46415888336127775,1.0,0.0,1e-06,0.5,1,0.12437054189290683,1.8409732950036188,8.040489208940501,1e-06,464158.88336127775
0.46415888336127775,1.0,10.0,1e-06,0.5,1,0.12436744984755856,1.8409732950036188,8.040689112993265,1.1e-05,42196.26212375252
0.46415888336127775,1.0,100.0,1e-06,0.5,1,0.12433962835645197,1.8409732950036188,8.042488249468136,0.000101,4595.632508527502
0.46415888336127775,1.0,1000.0,1e-06,0.5,1,0.12406209653284524,1.8409732950036188,8.060479614216835,0.001001,463.69518817310467
0.46415888336127775,10.0,0.0,1e-06,0.5,1,0.12436775904517479,1.8409732950036188,8.040669122587989,9.999999999999999e-06,46415.88833612778
0.46415888336127775,10.0,10.0,1e-06,0.5,1,0.12436466713819509,1.8409732950036188,8.040869026640753,1.9999999999999998e-05,23207.94416806389
0.46415888336127775,10.0,100.0,1e-06,0.5,1,0.12433684689194156,1.8409732950036188,8.042668163115621,0.00010999999999999999,4219.626212375253
0.46415888336127775,10.0,1000.0,1e-06,0.5,1,0.12405932747105507,1.8409732950036188,8.060659527864322,0.00101,459.56325085275023
0.46415888336127775,25.0,0.0,1e-06,0.5,1,0.12436312124235546,1.8409732950036188,8.040968978667134,2.4999999999999998e-05,18566.355334451113
0.46415888336127775,25.0,10.0,1e-06,0.5,1,0.12436002956596945,1.8409732950036188,8.041168882719898,3.5e-05,13261.682381750794
0.46415888336127775,25.0,100.0,1e-06,0.5,1,0.12433221139428531,1.8409732950036188,8.042968019194767,0.000125,3713.271066890222
0.46415888336127775,25.0,1000.0,1e-06,0.5,1,0.12405471264275175,1.8409732950036188,8.060959383943468,0.0010249999999999999,452.8379349866125
0.46415888336127775,100.0,0.0,1e-06,0.5,1,0.12433993741574606,1.8409732950036188,8.042468259062858,9.999999999999999e-05,4641.588833612778
0.46415888336127775,100.0,10.0,1e-06,0.5,1,0.12433684689194156,1.8409732950036188,8.042668163115621,0.00010999999999999999,4219.626212375253
0.46415888336127775,100.0,100.0,1e-06,0.5,1,0.12430903908962444,1.8409732950036188,8.044467299590492,0.00019999999999999998,2320.794416806389
0.46415888336127775,100.0,1000.0,1e-06,0.5,1,0.12403164365022654,1.8409732950036188,8.062458664339191,0.0010999999999999998,421.9626212375253
